sample_id,status,converged,transfer_ready,output_ready,note
000829,valid,1,1,1,
000830,valid,1,1,1,
000831,valid,1,1,1,
000832,valid,1,1,1,
000833,valid,1,1,1,
000834,valid,1,1,1,
000835,valid,1,1,1,
000836,valid,1,1,1,
000837,valid,1,1,1,
000838,valid,1,1,1,
000839,valid,1,1,1,
000840,valid,1,1,1,
000841,valid,1,1,1,
000842,valid,1,1,1,
000843,valid,1,1,1,
000844,valid,1,1,1,
000845,fail,0,0,0,stable fail
000846,valid,1,1,1,
000847,valid,1,1,1,
000848,valid,1,1,1,
000849,valid,1,1,1,
000850,valid,1,1,1,
000851,valid,1,1,1,
000852,valid,1,1,1,
000853,valid,1,1,1,
000854,valid,1,1,1,
000855,valid,1,1,1,
000856,valid,1,1,1,
000857,valid,1,1,1,
000858,valid,1,1,1,
000859,valid,1,1,1,
000860,valid,1,1,1,
000861,valid,1,1,1,
000862,valid,1,1,1,
000863,valid,1,1,1,
000864,valid,1,1,1,
000865,valid,1,1,1,
000866,valid,1,1,1,
000867,valid,1,1,1,
000868,valid,1,1,1,
000869,valid,1,1,1,
000870,valid,1,1,1,
000871,valid,1,1,1,
000872,valid,1,1,1,
000873,valid,1,1,1,
000874,valid,1,1,1,
000875,valid,1,1,1,
000876,valid,1,1,1,
000877,valid,1,1,1,
000878,valid,1,1,1,
000879,valid,1,1,1,
000880,valid,1,1,1,
000881,fail,0,0,0,stable fail
000882,valid,1,1,1,
000883,fail,0,0,0,stable fail
000884,fail,0,0,0,stable fail
000885,valid,1,1,1,
000886,valid,1,1,1,
000887,valid,1,1,1,
000888,valid,1,1,1,
000889,valid,1,1,1,
000890,valid,1,1,1,
000891,valid,1,1,1,
000892,valid,1,1,1,
000893,valid,1,1,1,
000894,valid,1,1,1,
000895,valid,1,1,1,
000896,fail,0,0,0,stable fail
000897,valid,1,1,1,
000898,valid,1,1,1,
000899,valid,1,1,1,
000900,valid,1,1,1,
000901,valid,1,1,1,
000902,valid,1,1,1,
000903,valid,1,1,1,
